artist,Unnamed: 0,track,track_artist,track_title,track_remix,track_basic,artist_basic,cluster
Above & Beyond,0,Above & Beyond - Surge,Above & Beyond,Surge,[],Surge,Above & Beyond,1
Above & Beyond,1,Grum - Shout,Grum,Shout,[],Shout,Grum,1
Above & Beyond,2,Above & Beyond - Tightrope,Above & Beyond,Tightrope,[],Tightrope,Above & Beyond,1
Above & Beyond,3,Above & Beyond pres. OceanLab - Another Chance (Above & Beyond Club Mix),Above & Beyond pres. OceanLab,Another Chance (Above & Beyond Club Mix),['Above & Beyond Club Mix'],Another Chance ,Above & Beyond pres. OceanLab,1
Above & Beyond,4,Fatum - Pharaoh,Fatum,Pharaoh,[],Pharaoh,Fatum,1
Above & Beyond,5,Oliver Smith - Endorphin,Oliver Smith,Endorphin,[],Endorphin,Oliver Smith,1
Above & Beyond,6,Above & Beyond feat. Gemma Hayes - Counting Down The Days (Above & Beyond Club Mix),Above & Beyond feat. Gemma Hayes,Counting Down The Days (Above & Beyond Club Mix),['Above & Beyond Club Mix'],Counting Down The Days ,Above & Beyond,1
Above & Beyond,7,Moby - Porcelain (Above & Beyond Remix),Moby,Porcelain (Above & Beyond Remix),['Above & Beyond Remix'],Porcelain ,Moby,1
Above & Beyond,8,Judah - Zero-Day,Judah,Zero-Day,[],Zero-Day,Judah,1
Above & Beyond,9,Above & Beyond - Balearic Balls,Above & Beyond,Balearic Balls,[],Balearic Balls,Above & Beyond,1
Above & Beyond,10,Above & Beyond - ID,Above & Beyond,ID,[],ID,Above & Beyond,1
Above & Beyond,11,Above & Beyond feat. Justine Suissa - Alright Now (Above & Beyond Club Mix),Above & Beyond feat. Justine Suissa,Alright Now (Above & Beyond Club Mix),['Above & Beyond Club Mix'],Alright Now ,Above & Beyond,1
Above & Beyond,12,Above & Beyond - 1001,Above & Beyond,1001,[],1001,Above & Beyond,1
Above & Beyond,13,Above & Beyond vs. Andrew Bayer - Sun & Moon vs. Once Lydian,Above & Beyond vs. Andrew Bayer,Sun & Moon vs. Once Lydian,[],Sun & Moon vs. Once Lydian,Above & Beyond vs. Andrew Bayer,1
Above & Beyond,14,Above & Beyond feat. Alex Vargas - Sink The Lighthouse (Maor Levi Remix),Above & Beyond feat. Alex Vargas,Sink The Lighthouse (Maor Levi Remix),['Maor Levi Remix'],Sink The Lighthouse ,Above & Beyond,1
Above & Beyond,15,Above & Beyond vs. Arty feat. Zo* Johnston - You Got To Believe,Above & Beyond vs. Arty feat. Zo* Johnston,You Got To Believe,[],You Got To Believe,Above & Beyond vs. Arty,1
Above & Beyond,16,Above & Beyond feat. Alex Vargas - Blue Sky Action (Above & Beyond Club Mix),Above & Beyond feat. Alex Vargas,Blue Sky Action (Above & Beyond Club Mix),['Above & Beyond Club Mix'],Blue Sky Action ,Above & Beyond,1
Above & Beyond,17,Above & Beyond feat. Zo* Johnston - We're All We Need (Ilan Bluestone Remix),Above & Beyond feat. Zo* Johnston,We're All We Need (Ilan Bluestone Remix),['Ilan Bluestone Remix'],We're All We Need ,Above & Beyond,1
Above & Beyond,18,Seven Lions & Jason Ross feat. Paul Meany - Higher Love,Seven Lions & Jason Ross feat. Paul Meany,Higher Love,[],Higher Love,Seven Lions & Jason Ross,1
Above & Beyond,19,Above & Beyond feat. Richard Bedford - Thing Called Love,Above & Beyond feat. Richard Bedford,Thing Called Love,[],Thing Called Love,Above & Beyond,1
Afrojack,20,Cesqeaux & Afrojack feat. OT. Genasis - Life Good (NLW Remix),Cesqeaux & Afrojack feat. OT. Genasis,Life Good (NLW Remix),['NLW Remix'],Life Good ,Cesqeaux & Afrojack,1
Afrojack,21,Afrojack vs. Hardwell & D3FAI - Party Till The Daylight vs. Summerthing (Afrojack Mashup),Afrojack vs. Hardwell & D3FAI,Party Till The Daylight vs. Summerthing (Afrojack Mashup),['Afrojack Mashup'],Party Till The Daylight vs. Summerthing ,Afrojack vs. Hardwell & D3FAI,1
Afrojack,22,NLW - Daft Ragga,NLW,Daft Ragga,[],Daft Ragga,NLW,1
Afrojack,23,Jack U* feat. Bunji Garlin - Jungle Bae (Acappella),Jack U* feat. Bunji Garlin,Jungle Bae (Acappella),['Acappella'],Jungle Bae ,Jack U*,1
Afrojack,24,Silvio Ecomo & Chuckie - Moombah (Afrojack Remix),Silvio Ecomo & Chuckie,Moombah (Afrojack Remix),['Afrojack Remix'],Moombah ,Silvio Ecomo & Chuckie,1
Afrojack,25,D.O.D - Taking You Back (Afrojack Edit),D.O.D,Taking You Back (Afrojack Edit),['Afrojack Edit'],Taking You Back ,D.O.D,1
Afrojack,26,Migos feat. Lil *Zi Vert - Bad And Boujee,Migos feat. Lil *Zi Vert,Bad And Boujee,[],Bad And Boujee,Migos,1
Afrojack,27,NLW (Nick Van De Wall) - ID,NLW (Nick Van De Wall),ID,[],ID,NLW (Nick Van De Wall),1
Afrojack,28,Travis Scott feat. Kendrick Lamar - Goosebumps,Travis Scott feat. Kendrick Lamar,Goosebumps,[],Goosebumps,Travis Scott,1
Afrojack,29,Calvin Harris & Disciples feat. Ina Wroldsen - How Deep Is Your Love (Calvin Harris & R3hab Remix),Calvin Harris & Disciples feat. Ina Wroldsen,How Deep Is Your Love (Calvin Harris & R3hab Remix),['Calvin Harris & R3hab Remix'],How Deep Is Your Love ,Calvin Harris & Disciples,1
Afrojack,30,David Guetta feat. Nicki Minaj & Afrojack - Hey Mama (Afrojack Remix),David Guetta feat. Nicki Minaj & Afrojack,Hey Mama (Afrojack Remix),['Afrojack Remix'],Hey Mama ,David Guetta,1
Afrojack,31,DJ Snake feat. Lil Jon - Turn Down For What?!,DJ Snake feat. Lil Jon,Turn Down For What?!,[],Turn Down For What?!,DJ Snake,1
Afrojack,32,Afrojack & Martin Garrix - Turn Up The Speakers,Afrojack & Martin Garrix,Turn Up The Speakers,[],Turn Up The Speakers,Afrojack & Martin Garrix,1
Afrojack,33,Kanye West - Power (Acappella),Kanye West,Power (Acappella),['Acappella'],Power ,Kanye West,1
Afrojack,34,Martin Garrix - Animals,Martin Garrix,Animals,[],Animals,Martin Garrix,1
Afrojack,35,Yeah Yeah Yeahs - Heads Will Roll (A-Trak Remix),Yeah Yeah Yeahs,Heads Will Roll (A-Trak Remix),['A-Trak Remix'],Heads Will Roll ,Yeah Yeah Yeahs,1
Afrojack,36,Silvio Ecomo & Chuckie - Moombah (Afrojack Remix),Silvio Ecomo & Chuckie,Moombah (Afrojack Remix),['Afrojack Remix'],Moombah ,Silvio Ecomo & Chuckie,1
Afrojack,37,Afrojack - Bangduck,Afrojack,Bangduck,[],Bangduck,Afrojack,1
Afrojack,38,JVST SAY YES & Torro Torro - Give It Time,JVST SAY YES & Torro Torro,Give It Time,[],Give It Time,JVST SAY YES & Torro Torro,1
Afrojack,39,Jamie Lewis feat. Michael Watford - For You (Put Your Hands Up In The Air Acappella),Jamie Lewis feat. Michael Watford,For You (Put Your Hands Up In The Air Acappella),['Put Your Hands Up In The Air Acappella'],For You ,Jamie Lewis,1
Afrojack,40,Bassjackers & Afrojack - What We Live For (Let Me See Your Hands Acappella),Bassjackers & Afrojack,What We Live For (Let Me See Your Hands Acappella),['Let Me See Your Hands Acappella'],What We Live For ,Bassjackers & Afrojack,1
Afrojack,41,MERCER - Encore (SayMyName Remix),MERCER,Encore (SayMyName Remix),['SayMyName Remix'],Encore ,MERCER,1
Afrojack,42,Knife Party - Fire Hive,Knife Party,Fire Hive,[],Fire Hive,Knife Party,1
Afrojack,43,The Weeknd - Can't Feel My Face (Acappella),The Weeknd,Can't Feel My Face (Acappella),['Acappella'],Can't Feel My Face ,The Weeknd,1
Afrojack,44,Zedd & Lucky Date feat. Ellie Goulding - Fall Into The Sky (Everybody Fuckin Jump Acappella),Zedd & Lucky Date feat. Ellie Goulding,Fall Into The Sky (Everybody Fuckin Jump Acappella),['Everybody Fuckin Jump Acappella'],Fall Into The Sky ,Zedd & Lucky Date,1
Afrojack,45,Martin Garrix - Animals (Acappella),Martin Garrix,Animals (Acappella),['Acappella'],Animals ,Martin Garrix,1
Afrojack,46,Valentino Khan - Deep Down Low,Valentino Khan,Deep Down Low,[],Deep Down Low,Valentino Khan,1
Afrojack,47,Aero Chord - Resistance,Aero Chord,Resistance,[],Resistance,Aero Chord,1
Afrojack,48,Major Lazer feat. Vybz Kartel - Pon De Floor (Afrojack Version),Major Lazer feat. Vybz Kartel,Pon De Floor (Afrojack Version),['Afrojack Version'],Pon De Floor ,Major Lazer,1
Afrojack,49,Zedd & Alessia Cara - Stay,Zedd & Alessia Cara,Stay,[],Stay,Zedd & Alessia Cara,1
Afrojack,50,Jauz & Crankdat - I Hold Still,Jauz & Crankdat,I Hold Still,[],I Hold Still,Jauz & Crankdat,1
Afrojack,51,Afrojack feat. Eva Simons - Take Over Control,Afrojack feat. Eva Simons,Take Over Control,[],Take Over Control,Afrojack,1
Afrojack,52,David Guetta & Showtek feat. Vassy - BAD,David Guetta & Showtek feat. Vassy,BAD,[],BAD,David Guetta & Showtek,1
Afrojack,53,Zomboy - Terror Squad (Bro Safari & Ricky Remedy Remix / Cacophonic & Dimebag Edit),Zomboy,Terror Squad (Bro Safari & Ricky Remedy Remix / Cacophonic & Dimebag Edit),['Bro Safari & Ricky Remedy Remix / Cacophonic & Dimebag Edit'],Terror Squad ,Zomboy,1
Afrojack,54,Drake & Future - Jumpman,Drake & Future,Jumpman,[],Jumpman,Drake & Future,1
Afrojack,55,Zedd & Lucky Date feat. Ellie Goulding - Fall Into The Sky (Everybody Fuckin Jump Acappella),Zedd & Lucky Date feat. Ellie Goulding,Fall Into The Sky (Everybody Fuckin Jump Acappella),['Everybody Fuckin Jump Acappella'],Fall Into The Sky ,Zedd & Lucky Date,1
Afrojack,56,Zomboy - Terror Squad (Bro Safari & Ricky Remedy Remix),Zomboy,Terror Squad (Bro Safari & Ricky Remedy Remix),['Bro Safari & Ricky Remedy Remix'],Terror Squad ,Zomboy,1
Afrojack,57,Kendrick Lamar - M.A.A.D City,Kendrick Lamar,M.A.A.D City,[],M.A.A.D City,Kendrick Lamar,1
Afrojack,58,Chardy & Kronic - S.W.A.T. Team (Everybody Fucking *Beep* Jump Acappella),Chardy & Kronic,S.W.A.T. Team (Everybody Fucking *Beep* Jump Acappella),['Everybody Fucking *Beep* Jump Acappella'],S.W.A.T. Team ,Chardy & Kronic,1
Afrojack,59,Valentino Khan feat. DJ Kool - Make Some Noise,Valentino Khan feat. DJ Kool,Make Some Noise,[],Make Some Noise,Valentino Khan,1
