node,pos_x,pos_y,path_order,connection,connection_type,track_info,node_type,cluster
I Need You ,0.751409,0.540608,1,I Need You  - Olaf Blackwood,created,Armin van Buren: Armin van Buuren & Garibay feat. Olaf Blackwood - I Need You (Armin van Buuren Ultra Miami 2017 Mashup),track_basic,-1
Olaf Blackwood,0.791456,0.577372,2,I Need You  - Olaf Blackwood,created,Armin van Buren: Armin van Buuren & Garibay feat. Olaf Blackwood - I Need You (Armin van Buuren Ultra Miami 2017 Mashup),artist,-1
I Need You ,0.751409,0.540608,1,I Need You  - Armin van Buuren,created,Armin van Buren: Armin van Buuren & Garibay feat. Olaf Blackwood - I Need You (Armin van Buuren Ultra Miami 2017 Mashup),track_basic,-1
Armin van Buuren,0.70207,0.494699,2,I Need You  - Armin van Buuren,created,Armin van Buren: Armin van Buuren & Garibay feat. Olaf Blackwood - I Need You (Armin van Buuren Ultra Miami 2017 Mashup),artist,-1
I Need You ,0.751409,0.540608,1,I Need You  - Armin van Buren,played,Armin van Buren: Armin van Buuren & Garibay feat. Olaf Blackwood - I Need You (Armin van Buuren Ultra Miami 2017 Mashup),track_basic,-1
Armin van Buren,0.699996,0.498437,2,I Need You  - Armin van Buren,played,Armin van Buren: Armin van Buuren & Garibay feat. Olaf Blackwood - I Need You (Armin van Buuren Ultra Miami 2017 Mashup),set_artist,1
I Need You ,0.751409,0.540608,1,I Need You  - Garibay,created,Armin van Buren: Armin van Buuren & Garibay feat. Olaf Blackwood - I Need You (Armin van Buuren Ultra Miami 2017 Mashup),track_basic,-1
Garibay,0.793672,0.574914,2,I Need You  - Garibay,created,Armin van Buren: Armin van Buuren & Garibay feat. Olaf Blackwood - I Need You (Armin van Buuren Ultra Miami 2017 Mashup),artist,-1
Welcome,0.749034,0.679966,1,Welcome - Wildstylez,played,Wildstylez: Hard Driver - Welcome,track_basic,-1
Wildstylez,0.711099,0.619762,2,Welcome - Wildstylez,played,Wildstylez: Hard Driver - Welcome,set_artist,1
Welcome,0.749034,0.679966,1,Welcome - Hard Driver,created,Wildstylez: Hard Driver - Welcome,track_basic,-1
Hard Driver,0.775112,0.721518,2,Welcome - Hard Driver,created,Wildstylez: Hard Driver - Welcome,artist,-1
The Wonky Song ,0.620488,0.453411,1,The Wonky Song  - Excision,played,Excision: Monxx & Walter Wilde - The Wonky Song (X Rated Version),track_basic,-1
Excision,0.553416,0.438642,2,The Wonky Song  - Excision,played,Excision: Monxx & Walter Wilde - The Wonky Song (X Rated Version),set_artist,1
The Wonky Song ,0.620488,0.453411,1,The Wonky Song  - Walter Wilde,created,Excision: Monxx & Walter Wilde - The Wonky Song (X Rated Version),track_basic,-1
Walter Wilde,0.666818,0.490014,2,The Wonky Song  - Walter Wilde,created,Excision: Monxx & Walter Wilde - The Wonky Song (X Rated Version),artist,-1
The Wonky Song ,0.620488,0.453411,1,The Wonky Song  - Monxx,created,Excision: Monxx & Walter Wilde - The Wonky Song (X Rated Version),track_basic,-1
Monxx,0.611444,0.395703,2,The Wonky Song  - Monxx,created,Excision: Monxx & Walter Wilde - The Wonky Song (X Rated Version),artist,-1
B2U,0.542813,0.217489,1,B2U - Ian Everson,created,Boombox Cartel: Boombox Cartel feat. Ian Everson - B2U,track_basic,-1
Ian Everson,0.578478,0.167244,2,B2U - Ian Everson,created,Boombox Cartel: Boombox Cartel feat. Ian Everson - B2U,artist,-1
B2U,0.542813,0.217489,1,B2U - Boombox Cartel,created & played,Boombox Cartel: Boombox Cartel feat. Ian Everson - B2U,track_basic,-1
